city,land area,land,INTPTLAT,INTPTLONG
ElIndio,1.751,4534823,28.508925,-100.307239
Elkhart,1.54,3988916,31.631393,-95.580417
ElLago,0.644,1667712,29.571455,-95.045248
Ellinger,0.454,1176553,29.837473,-96.705022
Elm Creek,2.828,7323563,28.777369,-100.493356
Elmendorf,6.142,15908209,29.253331,-98.323027
El Mesquite,0.007,19374,26.384685,-98.771579
Elmo,3.998,10354296,32.739676,-96.152689
E.Lopez,0.021,53542,26.308661,-98.637851
El Paso,258.823,670348701,31.84778,-106.431106
El Quiote,0.051,131500,26.38449,-98.908378
El Rancho Vela,0.129,334593,26.403815,-98.769016
El Refugio,0.624,1616347,26.340638,-98.758944
Elsa,2.087,5406483,26.297814,-97.993562
El Socio,0.011,29075,26.340454,-98.637097
Emerald Bay,0.77,1993507,32.161272,-95.438638
Emhouse,0.267,690989,32.161303,-96.577011
Emory,1.961,5079325,32.876983,-95.766251
Encantada-Ranchito-ElCalaboz,2.631,6813558,26.034679,-97.636372
Enchanted Oaks,0.395,1023760,32.2666,-96.108989
Encinal,0.432,1119238,28.040475,-99.354489
Encino,6.712,17385102,26.936337,-98.11527
Ennis,32.52,84226318,32.325067,-96.633799
Escobares,2.673,6924054,26.412634,-98.960029
Estelline,0.733,1898617,34.546994,-100.439938
Eugenio Saenz,0.029,75179,26.358253,-98.633123
Euless,16.106,41713739,32.849366,-97.078592
Eureka,2.39,6189383,32.006774,-96.270567
Eustace,2.926,7579008,32.307542,-96.013801
Evadale,16.804,43521064,30.326641,-94.052041
Evant,0.609,1578485,31.476158,-98.15016
Evergreen,0.011,27579,26.424857,-99.024168
Everman,1.761,4560676,32.628827,-97.284246
Fabens,4.325,11202112,31.513974,-106.145258
Fabrica,0.312,808578,28.741973,-100.492598
Fairchilds village,2.143,5549859,29.43655,-95.776986
Fairfield,5.459,14137457,31.71744,-96.170483
Fair Oaks Ranch,12.261,31756445,29.746078,-98.638114
Fairview,8.879,22997616,33.140513,-96.613031
Falconaire,0.195,506340,26.551121,-99.116881
Falcon Heights,0.066,169682,26.560372,-99.122493
Falcon Lake Estates,0.671,1737575,26.87195,-99.257431
Falcon Mesa,1.519,3934623,26.870557,-99.29173
Falcon Village,0.833,2156270,26.56511,-99.134151
Falfurrias,2.861,7410517,27.22441,-98.145191
Falls,0.892,2310706,28.981666,-98.021565
Falman,0.079,204715,27.927997,-97.1713
Fannett,9.805,25393685,29.926273,-94.243345
Farmers Branch,11.881,30771559,32.927789,-96.878539
Farmersville,4.105,10633091,33.160912,-96.360657
Farnsworth,1.342,3474940,36.311078,-100.968272
Farwell,0.817,2116684,34.385631,-103.03734
Fate,12.171,31522485,32.949274,-96.383211
Fayetteville,0.502,1299164,29.906326,-96.675873
Fernando Salinas,0.019,48943,26.397879,-98.831072
Ferris,4.648,12038648,32.536723,-96.675537
FifthStreet,0.724,1875049,29.598002,-95.551317
Flat,0.98,2538576,31.309323,-97.624087
Flatonia,1.654,4284157,29.68971,-97.105205
Flor del Rio,0.015,39714,26.401302,-98.901498
Florence,0.913,2365450,30.841285,-97.791846
Floresville,7.691,19918852,29.146743,-98.165173
Flowella,0.998,2585551,27.219963,-98.064536
Flower Mound,41.941,108626874,33.037891,-97.113381
Floydada,2.033,5264667,33.983514,-101.336802
Fluvanna,1.444,3739191,32.88322,-101.141469
Follett,0.971,2515379,36.433973,-100.140767
Forest Heights,2.818,7298508,30.235042,-93.761047
Forest Hill,4.171,10803912,32.661936,-97.266235
Forney,15.883,41136252,32.742601,-96.452883
Forsan,0.291,754072,32.110338,-101.366796
Fort Bliss,17.898,46356351,31.839666,-106.374652
Fort Clark Springs,2.972,7697642,29.293821,-100.425481
Fort Davis,10.796,27962088,30.578857,-103.894655
Fort Hancock,18.946,49068667,31.289272,-105.845064
Fort Hood,19.363,50149593,31.136873,-97.784923
Fort Stockton,5.549,14371242,30.892574,-102.88421
Fort Worth,351.926,911482941,32.781954,-97.348573
Four Corners,2.413,6250343,29.670331,-95.660042
Four Points,0.517,1339167,27.796407,-99.454823
Fowlerton,2.171,5623134,28.452766,-98.809567
Franklin,1.17,3029938,31.025014,-96.487494
Frankston,2.481,6424544,32.057293,-95.504501
